,Materials Science,Chinese Medicine,Logistics and Supply Chain Management,Energy,Manufacturing Technology,Electrical and Electronics,Testing and Certification,Automotive Parts and Accessories,Biotechnology,Environmental Technology,Nanotechnology,Information Technology,Textiles/Clothing/Footwear
The Hong Kong Applied Science and Technology Research Institute Company Limited,21,0,0,7,13,362,0,0,11,3,7,249,0
The Chinese University of Hong Kong,35,31,0,6,94,96,1,2,146,30,35,155,0
The Hong Kong Polytechnic University,86,5,0,21,156,64,8,15,50,49,53,83,69
The University of Hong Kong,60,18,0,11,15,60,0,6,134,25,46,71,0
The Hong Kong University of Science and Technology,69,14,0,20,37,69,1,0,59,54,54,63,0
Nano and Advanced Materials Institute Limited,239,4,0,21,52,22,1,0,9,25,241,3,0
City University of Hong Kong,44,2,0,17,47,56,6,3,38,36,45,43,7
The Hong Kong Research Institute of Textiles and Apparel Limited,42,0,0,1,90,7,0,0,10,17,14,25,121
Hong Kong Productivity Council,13,0,0,0,67,9,5,2,3,15,4,10,1
Hong Kong R&D Centre for Logistics and Supply Chain Management Enabling Technologies Limited,1,0,37,0,8,21,0,0,0,0,0,93,0
Automotive Parts and Accessory Systems R&D Centre,4,0,0,7,49,41,0,31,0,13,0,14,0
Hong Kong Baptist University,22,28,0,0,2,5,4,0,16,10,10,12,0
Hong Kong Institute of Biotechnology Limited,0,5,0,0,1,0,0,0,9,0,0,0,0
Innovation and Technology Commission,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hong Kong Federation of Youth Groups,1,1,1,2,1,2,2,1,1,2,1,17,1
Hong Kong Science and Technology Parks Corporation,5,0,0,4,3,9,0,0,4,5,5,5,1
Federation of Hong Kong Industries,0,0,0,0,2,0,0,0,0,0,0,1,0
Vocational Training Council,0,0,0,0,1,0,0,0,0,0,0,2,3
Hong Kong Plastics Technology Centre Limited,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hong Kong General Chamber of Commerce,0,0,0,0,0,0,0,0,0,0,0,0,0
