,"資訊科技","電氣及電子","材料科學","製造科技","納米科技","生物科技","環境科技","紡織品／衣服／鞋履","能源","中醫藥","汽車零部件","物流及供應鏈管理","檢測和認證"
"香港應用科技研究院",258,366,24,18,12,12,4,0,8,1,0,0,1
"香港理工大學",83,64,86,156,53,50,49,73,21,5,15,0,8
"香港中文大學",155,96,35,94,35,146,30,0,6,33,2,3,1
"納米及先進材料研發院有限公司",3,22,239,52,241,9,25,0,21,4,0,0,1
"香港大學",71,60,60,15,46,134,25,0,11,18,6,0,0
"香港科技大學",63,69,69,37,54,59,55,0,20,15,0,0,1
"香港城市大學",44,56,45,47,46,38,37,7,17,3,3,0,7
"香港紡織及成衣研發中心",25,7,42,90,14,12,17,126,1,0,0,0,0
"汽車零部件研究及發展中心",14,41,4,49,0,0,13,0,7,0,34,0,0
"香港物流及供應鏈管理應用技術研發中心",93,21,1,8,0,0,0,0,0,0,0,37,0
"香港生產力促進局",10,9,13,67,4,3,15,2,0,0,4,1,5
"香港浸會大學",13,5,22,2,10,16,10,0,0,29,0,0,4
"香港科技園公司",5,9,5,3,5,4,5,1,4,0,2,2,0
"香港青年協會",17,2,1,1,1,1,2,1,2,1,1,1,2
"香港生物科技研究院",0,0,0,1,0,9,0,0,0,5,0,0,0
"職業訓練局",2,0,0,1,0,0,0,3,0,0,0,0,0
"香港工業總會",1,0,0,2,0,0,0,0,0,0,0,0,0
"香港總商會",0,0,0,0,0,0,1,0,0,0,0,0,0
"創新科技署",0,0,0,0,0,0,0,0,0,0,0,0,0
"香港塑膠科技中心有限公司",0,0,0,0,0,0,0,0,0,0,0,0,0
